,TV_show,review_title,review_content,review_helpful,review_rating,review_date
13,The Venture Bros., I guess not too many people have seen this...,"If you haven't seen this show, take the time and watch it... its on at 11:00 on Saturdays or 12:30 on Sundays if you missed it on Saturday... it stars Patrick Warburton, you know, Joe from Family Guy..... and everyone loves Family Guy... Adult Swim hits the bullseye again with another sure to be hit show... its funny, its weird, its randomly violent, and it doesn't let up until the end... it definitely shows parodies to Johnny Quest and other old TV shows... I mean, I like it, and you're sure to like it too... unless you're a grouch who doesn't like to stay up past your bedtime... or if you just don't have a good enough sense of humor... yeah... if you like all the other shows on Adult Swim, this will fit in nicely...",47 out of 71 found this helpful.,,28 August 2004
14,The Venture Bros., It was the highest ranked cartoon here,"This is one of the best animated shows ever made, so it is kind of sad to see that its score on this website has gotten lower over the years. It's still ranked as one of the best and it deserves it. What makes this show great is probably the wonderful cast of characters with tons of great jokes and voices. Seriously, this show has some of the most suiting voices I have ever heard. They all sound hilarious and suit the appearances of the characters perfectly. This show tells the story of a guy named Dr. Venture and his two sons who regularly get their home attacked by the Monarch and various other villains.<br/><br/>What's great is probably how a lot of these parody shows would make the villains more interesting than the good guys. That's not always a bad thing, but the awesome thing here is that the good guys are just as funny and entertaining as the villains. It's just great seeing them all play off of each other given how different their personalities are. It's dynamics like these that make for a great cast of characters. As one of the greatest adult cartoons ever made, it's also great that it doesn't go too far with its obscenity or violence.<br/><br/>Some adult cartoons like modern ""Family Guy"" just try to disgust their audience to show how edgy they are. True, we get into some pretty dark territory in this show every now and then, but it never really goes too far. It portrays the characters realistically and never has them try to gross out the viewers. We really do see character development and more of a story go on. Every character has their own quirks that it's hard for me to pick a favorite one. Maybe Henchman 21? He went through great character development. While not as good as ""Rick And Morty"" still awesome. ****",7 out of 8 found this helpful.,10.0,8 May 2017
15,The Venture Bros., The Venture Bros deserves a proper finale,"Shows like The Venture Bros don't show their full potential from the start: The first episodes are fun to watch, but it considerably improves from season 3 onwards.<br/><br/>Not only the animation starts getting better from that point, the plot and characterization becomes more complex also, with a lot of focus on continuity.<br/><br/>It would be a shame one of the most interesting shows Adult Swim ever had was left without a proper finale, and I really hope the series continues in one way or another, at least to tie up the loose ends left by the last season.",4 out of 4 found this helpful.,9.0,8 September 2020
16,The Venture Bros., Hilarious!,"This show is probably the best mix of action/adventure and comedy for Adult Swim. The Venture team consists of brothers Dean Venture and Hank Venture, along with their father the once noble scientist Dr. Rusty Venture and their insane, tough as nails bodyguard Brock Samson. These four star is probably one of the funniest shows I have ever seen Adult Swim put on the air. Throughout the series so far they have fended off such hysterical villains as Baron Von Underbite and the always hysterical Monarch with his butterfly henchman. The episodes are always met with some high intense animation action and then some of the hugest laughs of all time. Check this one out, it always delivers a very stellar performance.<br/><br/>10/10",4 out of 4 found this helpful.,10.0,7 August 2009
17,The Venture Bros., Thank you Adult Swim!,"I may not have grown up around the time of Johnny Quest, but I clearly see the subtle jabs at the series (which are numerous) and I can't help but laugh.<br/><br/>At first glance, I admit I didn't initially understand a lot of this series; but let's face it, how can anyone understand a series at first- glance? You have to watch further... which is what I did.<br/><br/>The storyline is great, the characters are well put together and (aw hell, I better just say it or it'll back up on me)... Brock Sampson kicks major ass! Time has taken its toll on Adult Swim, but this definitely stands the proverbial test of time.<br/><br/>One more thing: GO TEAM VENTURE!",4 out of 4 found this helpful.,10.0,5 September 2008
18,The Venture Bros., plain review,"The show is a parody of 60's cartoons and their seriousness, the format adopted from Johnny Quest...an excellent humanistic portrayal of people who live too much of their lives in their imagination (a huge theme running through the show). A really funny show for fans of comics and or cartoons that can see the depth of them and would enjoy a candid look at what these things might be like if they were a reality. Very funny dialog composed well within the plot when good, and forgivable when it misses, excellent imaginative characters and rich personalities permeate the show, with much of it yet to be uncovered (as of august 2006). Shows the random incidents and moments that make up life, translated into a superheros world, making for some moments of real hysteria.",4 out of 4 found this helpful.,10.0,12 August 2006
19,The Venture Bros., The best adult cartoon series of all time.,"After watching a few episodes of this once parody of Johnny Quest it's easy to see why it's lasted over a decade, even with having sometimes huge gaps in between seasons. Incredible writing and lore, as well as amazing animation and voice acting make this show almost perfect in every aspect.",6 out of 7 found this helpful.,10.0,3 September 2018
20,The Venture Bros., More people need to watch this show,"From the first episode I watched, the Venture Brothers has been a sure favorite. With it's wide range of humor, fun animation, and occasional David Bowie references, it never disappoints. The characters are vivid and endearing, and even some of the more gimmicky characters have surprising depth. The animation, which draws from classic cartoons such as ""Johnny Quest"" is polished and easy on the eye. All in all, the show has a little something for everyone. Complete with nostalgia, violence, and hilarious wit, both older and younger viewers will find something to love. As the title says, more people should see this show. It's a true gem among the hordes of reality TV stars and crass humor that television tends to resort to.",7 out of 9 found this helpful.,10.0,21 August 2011
21,The Venture Bros., Easily one of the best Animated Shows ever made,This intricate and elaborate parody of old-school adventure shows (and so much other stuff too) is uniquely fantastic and full of amazing characters.,3 out of 3 found this helpful.,10.0,21 August 2020
22,The Venture Bros., The best!,Venture bros is the best thing in the world and I can't wait for more,3 out of 3 found this helpful.,10.0,24 September 2019
23,The Venture Bros., Best animation I've seen,Great show that only gets better the more you watch.,3 out of 3 found this helpful.,10.0,11 July 2019
24,The Venture Bros., Great show with great commentary,"You can tell that the two creators inject an enormous amount of love into this show. I don't know of any other tv show where the creators have so much creative control, and use it so very well.<br/><br/>
It's amazing how every season is very different, but still true to the heart of the show.<br/><br/>
Everybody should listen to the commentary tracks of the DVD's. They're very unconventional, but very interesting. They never seem to directly talk about The Venture Bros, but if you listen carefully they tell you an enormous amount about the show. Far more than in other tv show commentaries that directly cover their subjects.",3 out of 3 found this helpful.,10.0,23 June 2018
25,Scooby-Doo! Mystery Incorporated, Some reviewers don't seem to get it.,"First off, I NEVER give anything a perfect score -- there is always room for improvement. I grew up watching Scooby Doo in reruns, because I'm not old enough to have seen it firsthand, and I'm a huge fan.<br/><br/>This incarnation is a reboot -- something which many viewers/reviewers don't seem to understand (especially the above reviewer, ctyankee1) -- and often goes into a darker, more serious storyline. It's not the same one from the 60s or 70s &amp; it's not trying to be. I love it because of its ""neo-retro"" (modern &amp; oldschool at the same time) look. Everything is connected, from one episode to the next &amp; I think they did a fantastic job paying homage to the original series (from canon flashbacks to past villains).<br/><br/>After reading some negative reviews, I can tell that most of the reviewers don't really watch the show or have only watched an episode or two -- which is sad. With the overarching story lines, you have to watch it from the beginning of the series, or you really lose so much. Give it the chance it deserves before brushing it off as garbage.",98 out of 111 found this helpful.,9.0,5 November 2012
26,Scooby-Doo! Mystery Incorporated, Fantastic New Start!,"I have been a Scooby-Doo fan for 30 years and get to still enjoy it with my sons. This new cartoon has outstanding animation that is much more moody with a spooky atmosphere than any attempt at the franchise since the early days. The stories are great and I'm glad to see Matt Lillard voicing Shaggy. Casey Casum will always be the best but his voice has changed too much. The camera angles are chosen with care and are interesting to watch. I also like that they live in the town of Crystal Cove rather than Coolsville and that the kids are kids in high school rather than adults. Scooby-Doo has serious longevity and it is my sincere hope that this new series is long lived.<br/><br/>For old fans and people new to the show, this is sure to delight!",65 out of 73 found this helpful.,10.0,1 August 2010
27,Scooby-Doo! Mystery Incorporated, Potential Fulfilled,"The villains are frightening. The characters are fleshed-out. the plot is dynamic. The art style is unique, and its universe has depth. Put simply, this is Scooby-Doo living up to its fullest potential.<br/><br/>I know my Scooby. I grew up with all the incarnations of the show, and while it's generally held a place in my mind as being fun, I probably would never have considered myself a true fan. I didn't doodle Scooby on my class notes.<br/><br/>But some genius came along and changed the rules. This show is true expansion, not a retelling of the original story. Not a remake. It's not trying to be hip, or modern. It's trying to be iconic; it's trying to be bold. They flashback to scenes straight out of the original series, and build their universe brick by brick, staying true to the core elements of Scooby (including the ridiculous slapstick), while introducing intrigue, fear, tension, development - and humor, like you've never seen in Scooby before.<br/><br/>I think the moment I realized that I might be watching something incredible came along when Velma was giving a tour of her family's Spook Museum, and casually resting in the background was the opening monster from the Scooby-Doo live action film. It never came up; it was just *there*.<br/><br/>That was a tell-tale sign of a groups of creators that loved their material - both good and bad. It takes guts to recognize the embarrassments of a franchise, and then continue onward, using elements of that embarrassment to produce something wonderful. Passion is oozing from the seams in this show.",34 out of 38 found this helpful.,8.0,6 April 2014
28,Scooby-Doo! Mystery Incorporated, The best Scooby Doo series ever!,"Out of all the 11 tv shows for Scooby so far, this one will probably always be my favorite! This show introduced me to Scooby and it got me hooked on the franchise! It has more then just the regular unmasking a person in a mask. It has a huge plot line, character development, and the monsters are actually really scary. This show leaves you wanting more each week. It's so amazing! I love basically everything about this show. The only thing that bothered me about this show is the relationship in the beginning with shaggy and Velma. It just felt wrong in my opinion, But *SPOILER* you only have to see moments with them together for like two of the episodes and it's easy to ignore it for those two episodes. However, everything else in the show was perfect. I loved Fred's comedic obsession with traps, Velma's clever sassiness, Scooby and Shaggy being their normal hilariously hungry self, and Fred and Daphne's cute and funny relationship! It's all so amazing and the overarching mystery will leave you on the edge of your seat until the very end of the show. I wish they made a third season. If you're a fan of Scooby, you have to watch this show!! You owe it to yourself.",20 out of 22 found this helpful.,,31 July 2018
29,Scooby-Doo! Mystery Incorporated," New ""Mystery Incorporated"" starts out on a high note.","Finally, character development for the Scooby-Doo Gang. Despite the fact that Fred and Daphne are back in their old late 60's outfits, new life has been breathed into Scooby's supporting cast. Norville ""Shaggy"" Rogers and his pet Great Dane, Scooby-Doo, have always been the most developed of the five characters and display their usual hijinks and slapstick, with one exception...Shaggy has a secret involving one of the members of the gang. Freddy Jones, the son of the town's Mayor in this story line, no longer has the Mr. Perfect persona, but is a precocious and eager yet likable teen who loves the thrill of mystery solving to the point that he gets carried away. Daphne Blake's personality is very sweet and endearing. Her character is more reminiscent of the original Daphne from the sixties only this Daphne is a cheerful optimist when it comes to her friends but is easily dishearten when it comes to Fred's cluelessness of her affections. The real surprise is Velma Dinkley! Her appearance seems to be modeled after the live-action version as her features looks more feminine. Although she's still extremely short in stature, Velma has more of a slender build making her noticeably busty. And though Velma still wears the usual outfit, her turtle neck sweater plunges slightly lower, revealing her neck. She now sports a fluffier hairstyle with small hair ribbons. As for her personality, she is sarcastic, opinionated, slightly quick-tempered, and (surprisingly) flirtatious. This new change in her character is well suited for the flow of the show and rounds out the cast quite nicely. Even with all the changes, ""Scooby-Doo! Mystery Incorporated"" takes you back to the original Scooby-Doo roots, with enough of it's own originality to bring it up to date. However, with more attention directed towards the lives of the characters rather than the mystery, it leaves the story of how the mystery was executed half explained. Still, the writers seem to know what their doing and if they keep to this format, this show has the potential to be almost as popular as the classic ""Scooby-Doo, Where Are You?"".",51 out of 62 found this helpful.,8.0,12 July 2010
30,Scooby-Doo! Mystery Incorporated, Scoob back,"Mystery incorporated is the best scooby series ever, it is the frist scooby series to take it seriously if you a fan of the darker scooby flims like zombie island or witch's ghost this is the Scooby Doo show for you",14 out of 15 found this helpful.,10.0,5 April 2019
31,Scooby-Doo! Mystery Incorporated," Please, please, please give this show a fair chance. It's almost a hidden gem.","I will start by saying this, I am not at all a fan of previous Scooby-Doo TV shows, and one of the biggest ""complaints"" I have heard about this show is that it isn't like the previous shows. In my opinion that is a good thing, it dares to break free from the former chain of reboots that are all the exact same episode after episode. So if you were a die hard fan of the original Scooby show when you were a kid, then this show may not be for you. Please do not form an opinion one thing just because it isn't like something else, that is not an opinion.<br/><br/>Okay, now on to my actual thoughts on the show. Mystery Incorporated immediately changes up the Scooby-Doo formula by having an ongoing plot from episode to episode. You might be able to watch the first half of season 1 with no context but when watching the second half of S1 and most of S2 you will need prior knowledge to understand what is going on. This not only brings the story a serious feeling, (the show has some really dark undertones and themes) but gives opportunities to create new characters never before seen in the Scooby-Doo franchise. The original 5 are still here slightly more likable than before but mostly the same. The original 5 help show off the new characters, and the new characters are great in my opinion. Mr. E, Angel, Sheriff Stone, Hot Dog Water, Brad and Judy, Mayor Jones, Vincent Van Ghoul, Skipper, and especially Professor Pericles all feel so natural in this world. Plus constant recurring characters that will come back later because they have some sort of importance. The writing of the show show is good for the most part but it can have its kind of awkward moments with an overused joke or two. Another reason I love this show as a Scooby-Doo show is because of the plot. The plot of this show (Late S2 especially) is so complicated and twisted just to explain why Scooby can talk. I think this works really well in ways and poorly in other ways.<br/><br/>Now what do I not like about this show. In many cases the animation can look odd. When moving 3D models are used against the 2D characters the overall look feels very unpolished. The animation doesn't look odd at all times just once maybe every 5 or 6 episodes. My other problem would have to be sometimes it's tone is all over the place. For example when nova starts talking about her ancestors it's a little challenging to take seriously. I don't think these problems at all ruin the entirety of the show though.<br/><br/>In all Scooby-Doo Mystery Incorporated is, in my opinion, the best Scooby show out there. With a good story, good characters, and breaking free from 10+ shows before it that all followed the exact same formula every single episode, this show is well worth a watch.",9 out of 9 found this helpful.,8.0,20 March 2020
32,Scooby-Doo! Mystery Incorporated, It's the best since the original ...,"I am surprised by some of the negative reviews on here. This is the best incarnation yet of the original show. The Scooby Doo Mystery ones with the special guests were pretty horrible, the Scooby/Scrappy show was a disaster, and the most recent ""What's New Scooby Doo's"" were decent but a little too trendy and trying to be hip to the 2000s. Therein lies the beauty of this show. It is a new show, with new stories, new relationship drama, and new villains and mysteries. However, it keeps the old look &amp; feel too. The show is darker now than it's been since the original series (when almost every episode happened in the creepy night time) and you feel that darkness when you watch it. It's spookier than the hackneyed villains of ""What's New"" and certainly far less goofy than the ones with the special guests. I cringe when I see those awful episodes with The Globetrotter and Phyllis Diller. Sure, the relationship stuff is more ""adult"" than the past but for those of you pointing out that the costumes are 70s again ... that's cool! So is Fred playing an 8-track on a record player ... that was funny, and meant to be! You've got to get the joke. Look, no one likes change all that much. I'm a marketing exec and I know this more than anything but change, when presented with elements that make us still feel comfortable, is great. Kudos to the writers for this fresh take on a great show that still makes me feel at home. (Oh, and I love the ""Mr. E"" stuff. It's a nice creepy sub-plot that now has me tivo'ing the show for myself, not just my kid!)",48 out of 61 found this helpful.,9.0,9 November 2010
33,Scooby-Doo! Mystery Incorporated, Best incarnation of the classic series,"Scooby-Doo! Mystery Incorporated is my favourite Scooby series. Whilst the original SDWAY is irreplaceable, Mystery Inc. is, in my opinion, the strongest entry in the franchise so far. Here's why I think so.<br/><br/>As well as staying true to the main essence of the show, with monster-of-the-week episodes, humour, action, and likeable characters, MI introduced an over-arching story/mystery. Handled much more capably than in 13 Ghosts, the over-arching plot here is intriguing to follow and watch unravel as the show progresses. With the ball rolling from the very first episode and spanning the entirety of the 52 episodes, this aspect of the show is without a doubt one of its main strenghts.<br/><br/>The characters of Fred, Daphne, Velma, Shaggy and of course Scooby-Doo, and the journey they take as individuals, and also as friends, is another great aspect of the series. They are fleshed out much more than in early seasons, especially Fred and Daphne, and each member of the gang is given family members who we get to learn more about throughout the show. Also explored are the romantic relationships between Fred and Daphne, and Velma and Shaggy. As someone who is a lifelong Scooby fan, the ""Fraphne"" relationship is one of my favourite elements of the show and I was so glad for it to finally be explored in depth. Velma and Shaggy's relationship is also developed, and the impact of such on Scooby, but you'll have to watch to see how that pans out.<br/><br/>Moving forward, I simply love the art style of this series. It is noticeably darker than say WNSD or BCSD, and I just love it. So much care is taken to form gorgeous backdrops, and the character designs are my favourite for a series since the original SDWAY (retaining their classic outfits, but with a new twist regarding the look of the characters). The animation is near perfect, and is just a pleasure to watch.<br/><br/>Lastly, I'll just touch on a few other things. The opening theme is short but sweet. Very catchy and original. I actually like just an instrumental theme, it suits the tone of the show well. The monsters in the show are actually pretty scary, with episodes to match (if you don't believe me just watch ""The Creeping Creatures""). Whilst there are no musical chase scenes, the action sequences are just as good. And finally, there are plenty of nods and references to the franchise's long history, e.g. the exhibits in the Crystal Cove Spooky Museum, the character of Vincent Van Ghoul, as well as THE HEX GIRLS!! (Lol), and much more.<br/><br/>Overall, I would highly recommend this series to anyone, Scooby fan or not. It is such a great addition to the franchise, and definitely earns the title as one of the best series in the Scooby franchise.",19 out of 22 found this helpful.,10.0,26 February 2018
