,title,genre,rating,runtime,age_rating,years
25,Supernatural,"Drama, Fantasy, Horror",8.4,44 min,TV-14,(2005–2020)
26,NCIS,"Action, Crime, Drama",7.7,60 min,TV-14,(2003– )
27,Friends,"Comedy, Romance",8.9,22 min,TV-PG,(1994–2004)
28,Kung Fu,"Action, Adventure, Drama",4.7,N/A,TV-14,(2021– )
29,Superstore,Comedy,7.8,22 min,TV-14,(2015–2021)
30,The Boys,"Action, Comedy, Crime",8.7,60 min,TV-MA,(2019– )
31,Unforgotten,"Crime, Drama, Mystery",8.3,45 min,TV-MA,(2015– )
32,The Mandalorian,"Action, Adventure, Sci-Fi",8.8,40 min,TV-14,(2019– )
33,The Sopranos,"Crime, Drama",9.2,55 min,TV-MA,(1999–2007)
34,Better Call Saul,"Crime, Drama",8.7,46 min,TV-MA,(2015–2021)
35,The Walking Dead,"Drama, Horror, Thriller",8.2,44 min,TV-14,(2010–2022)
36,Grey's Anatomy,"Drama, Romance",7.6,41 min,TV-14,(2005– )
37,Game of Thrones,"Action, Adventure, Drama",9.3,57 min,TV-MA,(2011–2019)
38,Line of Duty,"Crime, Drama, Mystery",8.7,60 min,TV-14,(2012– )
39,Attack on Titan,"Animation, Action, Adventure",8.9,24 min,TV-MA,(2013– )
40,Shameless,"Comedy, Drama",8.6,46 min,TV-MA,(2011–2021)
41,The Blacklist,"Crime, Drama, Mystery",8.0,43 min,TV-14,(2013– )
42,The Crown,"Biography, Drama, History",8.7,58 min,TV-MA,(2016– )
43,The Office,Comedy,8.9,22 min,TV-14,(2005–2013)
44,Breaking Bad,"Crime, Drama, Thriller",9.5,49 min,TV-MA,(2008–2013)
45,Vikings,"Action, Adventure, Drama",8.5,44 min,TV-MA,(2013–2020)
46,Criminal Minds,"Crime, Drama, Mystery",8.1,42 min,TV-14,(2005–2020)
47,Peaky Blinders,"Crime, Drama",8.8,60 min,TV-MA,(2013– )
48,Money Heist,"Action, Crime, Mystery",8.3,70 min,TV-MA,(2017– )
49,The Handmaid's Tale,"Drama, Sci-Fi, Thriller",8.4,60 min,TV-MA,(2017– )
50,This Is Us,"Comedy, Drama, Romance",8.7,45 min,TV-14,(2016– )
51,Schitt's Creek,Comedy,8.5,22 min,TV-14,(2015–2020)
52,The Flash,"Action, Adventure, Drama",7.7,43 min,TV-PG,(2014– )
53,Stranger Things,"Drama, Fantasy, Horror",8.7,51 min,TV-14,(2016– )
54,Outlander,"Drama, Fantasy, Romance",8.4,64 min,TV-MA,(2014– )
55,Snowpiercer,"Action, Drama, Sci-Fi",6.9,60 min,TV-MA,(2020– )
56,Modern Family,"Comedy, Drama, Romance",8.4,22 min,TV-PG,(2009–2020)
57,New Amsterdam,Drama,8.1,43 min,TV-14,(2018– )
58,Rebel,"Crime, Drama",6.7,N/A,TV-14,(2021– )
59,Brooklyn Nine-Nine,"Comedy, Crime",8.4,22 min,TV-14,(2013–2022)
60,Supernatural,"Drama, Fantasy, Horror",8.4,44 min,TV-14,(2005–2020)
61,NCIS,"Action, Crime, Drama",7.7,60 min,TV-14,(2003– )
62,Friends,"Comedy, Romance",8.9,22 min,TV-PG,(1994–2004)
63,Kung Fu,"Action, Adventure, Drama",4.7,N/A,TV-14,(2021– )
64,Superstore,Comedy,7.8,22 min,TV-14,(2015–2021)
65,The Boys,"Action, Comedy, Crime",8.7,60 min,TV-MA,(2019– )
66,Unforgotten,"Crime, Drama, Mystery",8.3,45 min,TV-MA,(2015– )
67,The Mandalorian,"Action, Adventure, Sci-Fi",8.8,40 min,TV-14,(2019– )
68,The Sopranos,"Crime, Drama",9.2,55 min,TV-MA,(1999–2007)
69,Better Call Saul,"Crime, Drama",8.7,46 min,TV-MA,(2015–2021)
70,The Walking Dead,"Drama, Horror, Thriller",8.2,44 min,TV-14,(2010–2022)
71,Grey's Anatomy,"Drama, Romance",7.6,41 min,TV-14,(2005– )
72,Game of Thrones,"Action, Adventure, Drama",9.3,57 min,TV-MA,(2011–2019)
73,Line of Duty,"Crime, Drama, Mystery",8.7,60 min,TV-14,(2012– )
74,Attack on Titan,"Animation, Action, Adventure",8.9,24 min,TV-MA,(2013– )
75,Shameless,"Comedy, Drama",8.6,46 min,TV-MA,(2011–2021)
76,The Blacklist,"Crime, Drama, Mystery",8.0,43 min,TV-14,(2013– )
77,The Crown,"Biography, Drama, History",8.7,58 min,TV-MA,(2016– )
78,The Office,Comedy,8.9,22 min,TV-14,(2005–2013)
79,Breaking Bad,"Crime, Drama, Thriller",9.5,49 min,TV-MA,(2008–2013)
80,Vikings,"Action, Adventure, Drama",8.5,44 min,TV-MA,(2013–2020)
81,Criminal Minds,"Crime, Drama, Mystery",8.1,42 min,TV-14,(2005–2020)
82,Peaky Blinders,"Crime, Drama",8.8,60 min,TV-MA,(2013– )
83,Money Heist,"Action, Crime, Mystery",8.3,70 min,TV-MA,(2017– )
84,The Handmaid's Tale,"Drama, Sci-Fi, Thriller",8.4,60 min,TV-MA,(2017– )
85,This Is Us,"Comedy, Drama, Romance",8.7,45 min,TV-14,(2016– )
86,Schitt's Creek,Comedy,8.5,22 min,TV-14,(2015–2020)
87,The Flash,"Action, Adventure, Drama",7.7,43 min,TV-PG,(2014– )
88,Stranger Things,"Drama, Fantasy, Horror",8.7,51 min,TV-14,(2016– )
89,Outlander,"Drama, Fantasy, Romance",8.4,64 min,TV-MA,(2014– )
90,Snowpiercer,"Action, Drama, Sci-Fi",6.9,60 min,TV-MA,(2020– )
91,Modern Family,"Comedy, Drama, Romance",8.4,22 min,TV-PG,(2009–2020)
92,New Amsterdam,Drama,8.1,43 min,TV-14,(2018– )
93,Rebel,"Crime, Drama",6.7,N/A,TV-14,(2021– )
94,Brooklyn Nine-Nine,"Comedy, Crime",8.4,22 min,TV-14,(2013–2022)
95,Supernatural,"Drama, Fantasy, Horror",8.4,44 min,TV-14,(2005–2020)
96,NCIS,"Action, Crime, Drama",7.7,60 min,TV-14,(2003– )
97,Friends,"Comedy, Romance",8.9,22 min,TV-PG,(1994–2004)
98,Kung Fu,"Action, Adventure, Drama",4.7,N/A,TV-14,(2021– )
99,Superstore,Comedy,7.8,22 min,TV-14,(2015–2021)
100,The Boys,"Action, Comedy, Crime",8.7,60 min,TV-MA,(2019– )
101,Unforgotten,"Crime, Drama, Mystery",8.3,45 min,TV-MA,(2015– )
102,The Mandalorian,"Action, Adventure, Sci-Fi",8.8,40 min,TV-14,(2019– )
103,The Sopranos,"Crime, Drama",9.2,55 min,TV-MA,(1999–2007)
104,Better Call Saul,"Crime, Drama",8.7,46 min,TV-MA,(2015–2021)
105,The Walking Dead,"Drama, Horror, Thriller",8.2,44 min,TV-14,(2010–2022)
106,Grey's Anatomy,"Drama, Romance",7.6,41 min,TV-14,(2005– )
107,Game of Thrones,"Action, Adventure, Drama",9.3,57 min,TV-MA,(2011–2019)
108,Line of Duty,"Crime, Drama, Mystery",8.7,60 min,TV-14,(2012– )
109,Attack on Titan,"Animation, Action, Adventure",8.9,24 min,TV-MA,(2013– )
110,Shameless,"Comedy, Drama",8.6,46 min,TV-MA,(2011–2021)
111,The Blacklist,"Crime, Drama, Mystery",8.0,43 min,TV-14,(2013– )
112,The Crown,"Biography, Drama, History",8.7,58 min,TV-MA,(2016– )
113,The Office,Comedy,8.9,22 min,TV-14,(2005–2013)
114,Breaking Bad,"Crime, Drama, Thriller",9.5,49 min,TV-MA,(2008–2013)
115,Vikings,"Action, Adventure, Drama",8.5,44 min,TV-MA,(2013–2020)
116,Criminal Minds,"Crime, Drama, Mystery",8.1,42 min,TV-14,(2005–2020)
117,Peaky Blinders,"Crime, Drama",8.8,60 min,TV-MA,(2013– )
118,Money Heist,"Action, Crime, Mystery",8.3,70 min,TV-MA,(2017– )
119,The Handmaid's Tale,"Drama, Sci-Fi, Thriller",8.4,60 min,TV-MA,(2017– )
120,This Is Us,"Comedy, Drama, Romance",8.7,45 min,TV-14,(2016– )
121,Schitt's Creek,Comedy,8.5,22 min,TV-14,(2015–2020)
122,The Flash,"Action, Adventure, Drama",7.7,43 min,TV-PG,(2014– )
123,Stranger Things,"Drama, Fantasy, Horror",8.7,51 min,TV-14,(2016– )
124,Outlander,"Drama, Fantasy, Romance",8.4,64 min,TV-MA,(2014– )
125,Snowpiercer,"Action, Drama, Sci-Fi",6.9,60 min,TV-MA,(2020– )
126,Modern Family,"Comedy, Drama, Romance",8.4,22 min,TV-PG,(2009–2020)
127,New Amsterdam,Drama,8.1,43 min,TV-14,(2018– )
128,Rebel,"Crime, Drama",6.7,N/A,TV-14,(2021– )
129,Brooklyn Nine-Nine,"Comedy, Crime",8.4,22 min,TV-14,(2013–2022)
130,Supernatural,"Drama, Fantasy, Horror",8.4,44 min,TV-14,(2005–2020)
131,NCIS,"Action, Crime, Drama",7.7,60 min,TV-14,(2003– )
132,Friends,"Comedy, Romance",8.9,22 min,TV-PG,(1994–2004)
133,Kung Fu,"Action, Adventure, Drama",4.7,N/A,TV-14,(2021– )
134,Superstore,Comedy,7.8,22 min,TV-14,(2015–2021)
135,The Boys,"Action, Comedy, Crime",8.7,60 min,TV-MA,(2019– )
136,Unforgotten,"Crime, Drama, Mystery",8.3,45 min,TV-MA,(2015– )
137,The Mandalorian,"Action, Adventure, Sci-Fi",8.8,40 min,TV-14,(2019– )
138,The Sopranos,"Crime, Drama",9.2,55 min,TV-MA,(1999–2007)
139,Better Call Saul,"Crime, Drama",8.7,46 min,TV-MA,(2015–2021)
